"Team","Wins","Losses","Ties","Pct","AdjPct","AdjPctRound","OppWinPct","OppOppWinPct","SOS","RPI"
"Denver",31,7,4,0.785714285714286,0.781553398058252,0.7816,0.51743664370632,0.54265692494639,0.53559524619917,0.597084784163941
"Minnesota-Duluth",27,6,7,0.7625,0.751243781094527,0.7512,0.556378813764316,0.538657708825495,0.543619618208365,0.595525658929905
"Harvard",28,5,2,0.828571428571429,0.843373493975903,0.8434,0.510917911973515,0.507230447252644,0.508262937374488,0.592040576524842
"Massachusetts-Lowell",27,11,3,0.695121951219512,0.694174757281553,0.6942,0.500003515882412,0.518987386276997,0.513671902566513,0.558797616245273
"Boston University",24,12,3,0.653846153846154,0.6524064171123,0.6524,0.55278425315904,0.512777136337594,0.523979129047599,0.556085951063774
"Minnesota",23,12,3,0.644736842105263,0.650537634408602,0.6505,0.529349761761095,0.517371770676708,0.520725608180336,0.553178614737403
"Western Michigan",22,13,5,0.6125,0.6,0.6,0.549496229764225,0.53102511728263,0.536197028777476,0.552147771583107
"Union",25,10,3,0.697368421052632,0.707446808510638,0.7074,0.487608872539559,0.502092486009072,0.498037074237609,0.550389507805866
"Penn State",25,12,2,0.666666666666667,0.654255319148936,0.6543,0.518126013362072,0.511437339564494,0.513310168227816,0.548546455958096
"Notre Dame",23,11,5,0.653846153846154,0.632978723404255,0.633,0.550931710216572,0.506215473021836,0.518736019436362,0.547296695428336
"Air Force",27,10,5,0.702380952380952,0.707142857142857,0.7071,0.503564241555859,0.486305587459333,0.491138010606361,0.545139222240485
"Cornell",21,9,5,0.671428571428571,0.661016949152542,0.661,0.501945542464303,0.506888951940294,0.505504797287016,0.544382835253398
"North Dakota",21,16,3,0.5625,0.547738693467337,0.5477,0.549503502051556,0.538009953615869,0.541228147177862,0.54285578375023
"Providence",22,12,5,0.628205128205128,0.631016042780749,0.631,0.49804942901032,0.513267380360745,0.509006353982626,0.539508776182156
"Boston College",21,15,4,0.575,0.573232323232323,0.5732,0.551291666626899,0.510213285924817,0.5217152325214,0.534594505199131
"Ohio State",21,12,6,0.615384615384615,0.614077669902913,0.6141,0.481782563652084,0.515736051321745,0.50622907477424,0.533191223556408
"Vermont",20,13,5,0.592105263157895,0.585635359116022,0.5856,0.516865954668122,0.511154611345212,0.512753787475627,0.530974180385726
"Wisconsin",20,15,1,0.569444444444444,0.553763440860215,0.5538,0.523575138328447,0.516975724305845,0.518823560232174,0.527558530389184
"Omaha",17,17,5,0.5,0.504950495049505,0.505,0.534011233756237,0.532226237588228,0.532726036515271,0.525782151148829
"Quinnipiac",23,15,2,0.6,0.599489795918367,0.5995,0.482912153514857,0.506475311572825,0.499877627316594,0.524780669467037
"Northeastern",18,15,5,0.539473684210526,0.544692737430168,0.5447,0.51987668217086,0.513198581794166,0.51506844989964,0.522474521782272
"St. Cloud State",16,19,1,0.458333333333333,0.465909090909091,0.4659,0.53813985822066,0.536582530618676,0.537018582347232,0.519241209487697
"St. Lawrence",17,13,7,0.554054054054054,0.553672316384181,0.5537,0.527340489766701,0.497905384339417,0.506147213859057,0.518028489490338
"Clarkson",18,16,5,0.525641025641026,0.528061224489796,0.5281,0.517686477620497,0.503533134788783,0.507496070781663,0.512637359208696
"Canisius",21,11,7,0.628205128205128,0.634920634920635,0.6349,0.450376292490309,0.476652333177266,0.469295041784918,0.510701440068847
"Robert Morris",22,12,4,0.631578947368421,0.620320855614973,0.6203,0.471700590772613,0.47460141938798,0.473789187375677,0.510422104435501
"Minnesota State",22,13,4,0.615384615384615,0.625,0.625,0.473689286884409,0.470174858678469,0.471158898576132,0.509619173932099
"Michigan Tech",23,15,7,0.588888888888889,0.596330275229358,0.5963,0.477805029346621,0.480772442974502,0.479941567158695,0.509038744176361
"Bemidji State",22,16,3,0.573170731707317,0.561576354679803,0.5616,0.495332462606262,0.477221379501718,0.48229248277099,0.502113450748193
"Merrimack",15,16,6,0.486486486486487,0.472527472527473,0.4725,0.495807452973275,0.510551803072908,0.506423385045011,0.497949406915626
"Yale",13,15,5,0.46969696969697,0.465625,0.4656,0.516906128744582,0.501112921591648,0.505535019594469,0.495557514695852
"Princeton",15,16,3,0.485294117647059,0.481012658227848,0.481,0.494526724677519,0.500624888232338,0.498917402436989,0.494441216384704
"Miami",9,20,7,0.347222222222222,0.346820809248555,0.3468,0.574527118876517,0.525400440210923,0.539155910237289,0.491072134990105
"Army West Point",18,14,5,0.554054054054054,0.551724137931034,0.5517,0.460792900894955,0.473735872205343,0.470111840238434,0.490514914661584
"New Hampshire",15,20,5,0.4375,0.4425,0.4425,0.495343505442612,0.50860573572893,0.504892311248761,0.489294233436571
"Connecticut",12,16,8,0.444444444444444,0.451428571428571,0.4514,0.489414829633206,0.504397262290878,0.50020218114673,0.488008778717191
"Bowling Green",21,18,2,0.536585365853659,0.53921568627451,0.5392,0.456698897942152,0.474887212852842,0.469794484677849,0.487149785077014
"Michigan",13,19,3,0.414285714285714,0.395833333333333,0.3958,0.521937293381938,0.50875333244789,0.512444841509423,0.483291964465401
"Colorado College",8,24,4,0.277777777777778,0.290322580645161,0.2903,0.568628825565197,0.530783209848014,0.541379982248825,0.478615631847909
"Holy Cross",14,15,7,0.486111111111111,0.482558139534884,0.4826,0.457037855265319,0.476031471010213,0.470713258601642,0.473674478834953
"Bentley",13,19,7,0.423076923076923,0.433673469387755,0.4337,0.502013969225854,0.479387466636304,0.485722887361378,0.472710532867972
"Sacred Heart",13,19,5,0.418918918918919,0.438502673796791,0.4385,0.48481657260682,0.480598085774282,0.481779262087393,0.470960115014742
"Dartmouth",10,18,3,0.370967741935484,0.369127516778524,0.3691,0.501261709462838,0.500145916707841,0.50045833867924,0.467625633204061
"Arizona State",8,19,3,0.316666666666667,0.340136054421769,0.3401,0.508137783137783,0.507628038282713,0.507770766842133,0.465862088737042
"Mercyhurst",15,20,4,0.435897435897436,0.445026178010471,0.445,0.468644489911084,0.471039711908486,0.470369049749214,0.464033331814528
"Maine",11,21,4,0.361111111111111,0.345454545454545,0.3455,0.474159122239618,0.511540940700927,0.501074031531761,0.462169160012457
"Northern Michigan",13,22,4,0.384615384615385,0.392857142857143,0.3929,0.479849108063824,0.47577777763384,0.476917750154236,0.455902598329963
"Colgate",9,22,6,0.324324324324324,0.323863636363636,0.3239,0.499143331934761,0.499260289342248,0.499227541268151,0.455386565042023
"Michigan State",7,24,4,0.257142857142857,0.265027322404372,0.265,0.550126290030982,0.506395610091047,0.518640200474229,0.455236980956765
"Ferris State",13,19,5,0.418918918918919,0.422043010752688,0.422,0.44388661129359,0.474487033238981,0.465918915094271,0.454949939008876
"RIT",14,22,1,0.391891891891892,0.387434554973822,0.3874,0.467838992932602,0.475291382671316,0.473204713544476,0.451762173901812
"Alaska",12,20,4,0.388888888888889,0.398907103825137,0.3989,0.466337637074874,0.466848711634384,0.466705610757721,0.449755984024575
"Lake Superior",11,18,7,0.402777777777778,0.407185628742515,0.4072,0.427034557420128,0.474580231363088,0.461267442659059,0.447746989179923
"American International",8,20,8,0.333333333333333,0.344444444444444,0.3444,0.440830200445016,0.472125155429553,0.463362568033883,0.433633037136523
"Rensselaer",8,28,1,0.22972972972973,0.225988700564972,0.226,0.484756077267577,0.500653824682317,0.49620245540619,0.428649016695885
"Alabama-Huntsville",9,22,3,0.308823529411765,0.325714285714286,0.3257,0.434364845856544,0.467263043789431,0.458051548368222,0.424967232704738
"Alaska-Anchorage",7,21,6,0.294117647058824,0.291666666666667,0.2917,0.461238715364584,0.471373128924687,0.468535493127858,0.42431828651256
"Massachusetts",5,29,2,0.166666666666667,0.155367231638418,0.1554,0.497471447947651,0.508787779539181,0.505619206693552,0.418056212929769
"Brown",4,25,2,0.161290322580645,0.165562913907285,0.1656,0.500348383586384,0.497292816487361,0.498148375275087,0.415002009933137
"Niagara",5,31,3,0.166666666666667,0.178947368421053,0.1789,0.462237509852641,0.469259295122511,0.467293195246948,0.395206738540474
