"Team","AdjPct","SOS","RPI"
"Air Force",0.7071,0.493,0.5466
"Alabama-Huntsville",0.3257,0.4595,0.426
"Alaska",0.3989,0.4683,0.4509
"Alaska-Anchorage",0.2917,0.4696,0.4251
"American International",0.3444,0.4645,0.4345
"Arizona State",0.3401,0.5073,0.4655
"Army West Point",0.5517,0.4704,0.4907
"Bemidji State",0.5616,0.4831,0.5027
"Bentley",0.4337,0.4865,0.4733
"Boston College",0.5732,0.5224,0.5351
"Boston University",0.6524,0.5244,0.5564
"Bowling Green",0.5392,0.4708,0.4879
"Brown",0.1656,0.4971,0.4142
"Canisius",0.6349,0.4709,0.5119
"Clarkson",0.5281,0.5064,0.5118
"Colgate",0.3239,0.4983,0.4547
"Colorado College",0.2903,0.5421,0.4792
"Connecticut",0.4514,0.5007,0.4884
"Cornell",0.661,0.504,0.5433
"Dartmouth",0.3691,0.4993,0.4667
"Denver",0.7816,0.5359,0.5973
"Ferris State",0.422,0.4672,0.4559
"Harvard",0.8434,0.5076,0.5915
"Holy Cross",0.4826,0.4719,0.4745
"Lake Superior",0.4072,0.463,0.4491
"Maine",0.3455,0.501,0.4621
"Massachusetts",0.1554,0.5066,0.4188
"Massachusetts-Lowell",0.6942,0.5137,0.5588
"Mercyhurst",0.445,0.4717,0.465
"Merrimack",0.4725,0.5062,0.4978
"Miami",0.3468,0.5395,0.4913
"Michigan",0.3958,0.5126,0.4834
"Michigan State",0.265,0.5197,0.456
"Michigan Tech",0.5963,0.4812,0.51
"Minnesota",0.6505,0.5205,0.553
"Minnesota-Duluth",0.7512,0.5442,0.5959
"Minnesota State",0.625,0.4723,0.5105
"Nebraska-Omaha",0.505,0.5331,0.526
"New Hampshire",0.4425,0.5055,0.4897
"Niagara",0.1789,0.4683,0.3959
"North Dakota",0.5477,0.5411,0.5428
"Northeastern",0.5447,0.5159,0.5231
"Northern Michigan",0.3929,0.4781,0.4568
"Notre Dame",0.633,0.5195,0.5479
"Ohio State",0.6141,0.5061,0.5331
"Penn State",0.6543,0.5146,0.5495
"Princeton",0.481,0.4974,0.4933
"Providence",0.631,0.5094,0.5398
"Quinnipiac",0.5995,0.4988,0.524
"Rensselaer",0.226,0.4955,0.4281
"RIT",0.3874,0.4744,0.4526
"Robert Morris",0.6203,0.4752,0.5115
"Sacred Heart",0.4385,0.4829,0.4718
"St. Cloud State",0.4659,0.5378,0.5198
"St. Lawrence",0.5537,0.5046,0.5168
"Union",0.7074,0.4968,0.5494
"Vermont",0.5856,0.5131,0.5312
"Western Michigan",0.6,0.5371,0.5528
"Wisconsin",0.5538,0.5186,0.5274
"Yale",0.4656,0.5041,0.4945
