"Team","RPI","AdjustedRPI","QWB","QWBAdjustedRPI","AdjustedWinPct","SOS","PairwiseComparisonsWon","UnadjustedWinPct","GamesDropped","QWBAdjRPIRank","RPIRank","SOSRank","WinRank"
"Air Force",0.5463,".5465*",0.0011,0.5476,0.7175,0.4893,48,0.7125,TRUE,12,11,39,5
"Alabama-Huntsville",0.4268,".4268",0,0.4268,0.3257,0.4605,3,0.3088,FALSE,56,56,59,52
"Alaska",0.4518,".4518",0,0.4518,0.3989,0.4694,8,0.3889,FALSE,52,52,54,43
"Alaska-Anchorage",0.4256,".4256",0,0.4256,0.2917,0.4703,3,0.2941,FALSE,57,57,53,54
"American International",0.4352,".4352",4e-04,0.4356,0.3444,0.4655,6,0.3333,FALSE,54,54,57,50
"Arizona State",0.465,".4650",0.0019,0.4669,0.3401,0.5066,16,0.3167,FALSE,44,45,22,51
"Army",0.491,".4910",6e-04,0.4916,0.5517,0.4708,24,0.5541,FALSE,36,34,52,26
"Bemidji State",0.5037,".5037",7e-04,0.5044,0.5616,0.4844,31,0.5732,FALSE,29,29,41,23
"Bentley",0.4734,".4734",8e-04,0.4742,0.4337,0.4867,19,0.4231,FALSE,41,41,40,40
"Boston College",0.535,".5350",0.0045,0.5395,0.5732,0.5222,45,0.575,FALSE,16,16,9,21
"Boston University",0.5559,".5559",0.0055,0.5614,0.661,0.5209,53,0.6622,FALSE,7,7,12,10
"Bowling Green",0.4887,".4887",4e-04,0.4891,0.5392,0.4719,22,0.5366,FALSE,38,36,50,28
"Brown",0.415,".4150",0,0.415,0.1656,0.4982,1,0.1613,FALSE,59,59,36,59
"Canisius",0.5125,".5125",0.0012,0.5137,0.6349,0.4717,35,0.6282,FALSE,25,26,51,12
"Clarkson",0.5127,".5127",0.0051,0.5178,0.5281,0.5076,36,0.5256,FALSE,24,24,20,29
"Colgate",0.4554,".4554",8e-04,0.4561,0.3239,0.4992,10,0.3243,FALSE,50,50,34,53
"Colorado College",0.4788,".4788",0.0046,0.4834,0.2903,0.5417,22,0.2778,FALSE,39,39,2,55
"Connecticut",0.4885,".4885",0.0042,0.4927,0.4514,0.5008,26,0.4444,FALSE,34,37,31,36
"Cornell",0.5479,".5479",0.0025,0.5504,0.6802,0.5038,49,0.6912,FALSE,11,10,29,7
"Dartmouth",0.4678,".4678",0.0027,0.4705,0.3691,0.5007,17,0.371,FALSE,43,43,32,47
"Denver",0.5953,".5953",0.0088,0.6041,0.7704,0.5369,59,0.775,FALSE,1,1,6,2
"Ferris State",0.4572,".4572",2e-04,0.4574,0.422,0.4689,11,0.4189,FALSE,49,49,56,41
"Harvard",0.5882,".5917*",0.0051,0.5968,0.8333,0.5065,57,0.8182,TRUE,3,3,23,1
"Holy Cross",0.475,".4750",0.0021,0.4771,0.4826,0.4725,20,0.4861,FALSE,40,40,48,31
"Lake Superior",0.4503,".4503",0,0.4503,0.4072,0.4646,7,0.4028,FALSE,53,53,58,42
"Maine",0.4622,".4622",0.0013,0.4635,0.3455,0.5011,14,0.3611,FALSE,46,46,30,49
"Massachusetts",0.4186,".4186",4e-04,0.419,0.1554,0.5063,3,0.1667,FALSE,58,58,24,60
"Massachusetts-Lowell",0.5594,".5594",0.0042,0.5636,0.7041,0.5112,55,0.7051,FALSE,5,4,19,6
"Mercyhurst",0.4656,".4656",0,0.4656,0.445,0.4724,15,0.4359,FALSE,45,44,49,37
"Merrimack",0.4981,".4981",0.0048,0.5029,0.4725,0.5066,30,0.4865,FALSE,30,30,22,33
"Miami",0.4914,".4914",0.0057,0.4971,0.3468,0.5396,29,0.3472,FALSE,31,33,4,48
"Michigan",0.4849,".4849",0.0051,0.4899,0.3958,0.5146,23,0.4143,FALSE,37,38,16,44
"Michigan State",0.4575,".4575",0.0023,0.4598,0.265,0.5217,13,0.2571,FALSE,47,48,10,56
"Michigan Tech",0.5126,".5126",5e-04,0.5131,0.6103,0.48,33,0.6023,FALSE,27,25,43,18
"Minnesota",0.558,".5580*",0.0057,0.5637,0.6685,0.5211,56,0.6622,TRUE,4,5,11,8
"Minnesota-Duluth",0.5926,".5926",0.0107,0.6033,0.7382,0.5441,58,0.75,FALSE,2,2,1,3
"Minnesota State",0.5113,".5113",9e-04,0.5121,0.625,0.4733,32,0.6154,FALSE,28,28,47,14
"Nebraska-Omaha",0.5263,".5263",0.0045,0.5308,0.505,0.5334,41,0.5,FALSE,19,19,8,30
"New Hampshire",0.4897,".4897",0.0024,0.492,0.4425,0.5054,24,0.4375,FALSE,35,35,27,38
"Niagara",0.3965,".3965",0,0.3965,0.1789,0.4691,0,0.1667,FALSE,60,60,55,58
"North Dakota",0.5461,".5461",0.0049,0.551,0.5619,0.5408,50,0.5769,FALSE,10,12,3,22
"Northeastern",0.523,".5230",0.0037,0.5267,0.5447,0.5157,38,0.5395,FALSE,22,21,15,27
"Northern Michigan",0.4579,".4579",5e-04,0.4583,0.3929,0.4795,12,0.3846,FALSE,48,47,44,45
"Notre Dame",0.5402,".5402",0.0063,0.5464,0.6124,0.5161,47,0.6351,FALSE,14,14,14,17
"Ohio State",0.5369,".5369",0.0062,0.543,0.6294,0.506,45,0.6316,FALSE,15,15,25,13
"Penn State",0.5515,".5520*",0.0036,0.5556,0.6629,0.5144,51,0.6757,TRUE,9,9,17,9
"Princeton",0.4943,".4943",0.0011,0.4954,0.481,0.4988,27,0.4853,FALSE,33,32,35,32
"Providence",0.5422,".5422",0.0051,0.5472,0.6484,0.5068,45,0.6447,FALSE,13,13,21,11
"Quinnipiac",0.5249,".5249",0.0021,0.527,0.5995,0.5,39,0.6,FALSE,21,20,33,19
"Rensselaer",0.4292,".4292",0.001,0.4302,0.226,0.4969,5,0.2297,FALSE,55,55,38,57
"RIT",0.4529,".4529",0,0.4529,0.3874,0.4748,9,0.3919,FALSE,51,51,46,46
"Robert Morris",0.5121,".5121",0.0012,0.5133,0.6203,0.476,34,0.6316,FALSE,26,27,45,15
"Sacred Heart",0.4722,".4722",0.0011,0.4733,0.4385,0.4834,18,0.4189,FALSE,42,42,42,39
"St. Cloud State",0.5202,".5202",0.0078,0.5281,0.4659,0.5384,40,0.4583,FALSE,20,22,5,34
"St. Lawrence",0.5176,".5176",0.0029,0.5205,0.5537,0.5055,37,0.5541,FALSE,23,23,26,25
"Union",0.5545,".5548*",0.0022,0.557,0.7268,0.497,52,0.7162,TRUE,8,8,37,4
"Vermont",0.5317,".5317",0.0025,0.5341,0.5856,0.5137,43,0.5921,FALSE,17,17,18,20
"Western Michigan",0.5563,".5563",0.0065,0.5629,0.6162,0.5364,54,0.6282,FALSE,6,6,7,16
"Wisconsin",0.529,".5290",0.0047,0.5337,0.5538,0.5208,42,0.5694,FALSE,18,18,13,24
"Yale",0.495,".4950",0.0014,0.4963,0.4656,0.5047,28,0.4697,FALSE,32,31,28,35
